ID	PAGE	TYPE	ITALIAN	MALAY	DOCULECT	WORD	WORD2	tokenized	transliterated	transliterated_common	TOBA_BATAK_SOURCE	REMARK
88	266	word	Alzarsi al mattino	Bangún	TOBA_BATAK	Tarsungul	tarsungul	t a r s u n g u l	t a r s u n j u l	tarsunjul	J. S. A. Van Dissel	
89	266	word	Alzarsi al mattino	Bangún	ENGGANO	Maénu	maénu	m aé n u	m a:e n u	ma:enu		
90	266	word	Amare (d'amore)	Beráhi	NIAS	Omássidi	omássidi	o m á s s i d i	o m a s s i d i	omassidi		
91	266	word	Amare (d'amore)	Beráhi	TOBA_BATAK	Manghasi	manghasi	m a n g h a s i	m a n j h a s i	manjhasi		
92	266	word	Amare (d'amore)	Beráhi	ENGGANO	Cahapí	cahapí	c a h a p í	k a h a p i	kahapi		
93	266	word	Amaro	Páit	NIAS	Afeto	afeto	a f e t o	a f e t o	afeto		
94	266	word	Amaro	Páit	TOBA_BATAK	Pait	pait	p ai t	p a:i t	pa:it	J. S. A. Van Dissel	
95	266	word	Amaro	Páit	ENGGANO	Cadahóai	cadahóai	c a d a h ó ai	k a d a h o a:i	kadahoa:i		
96	266	word	Amico	Sóbat	NIAS	Aw<i>o</i>	awo	a w o	a w o	awo		
97	266	word	Amico	Sóbat	TOBA_BATAK	Ale²	ale²	a l e ²	a l e ²	ale²		
98	266	word	Amico	Sóbat	ENGGANO	Paano	paano	p a a n o	p a a n o	paano		
99	266	word	Amico	Sóbat	ENGGANO	Opahawo	opahawo	o p a h a w o	o p a h a w o	opahawo		
100	266	word	Ammalarsi	Giatò sacchè	NIAS	Tobali mafóch<i>o</i>	tobali mafócho	t o b a l i # m a f ó c h o	t o b a l i # m a f o k h o	tobali mafokho		
101	266	word	Ammalarsi	Giatò sacchè	TOBA_BATAK	Malla	malla	m a l l a	m a l l a	malla	J. S. A. Van Dissel	
102	266	word	Ammalarsi	Giatò sacchè	ENGGANO	Cabapuho anòca	cabapuho anòca	c a b a p u h o # a n ò c a	k a b a p u h o # a n O k a	kabapuho anOka		
103	266	word	Ancóra	Laghi	NIAS	To	to	t o	t o	to		
104	266	word	Ancóra	Laghi	TOBA_BATAK	Dape	dape	d a p e	d a p e	dape		
105	266	word	Ancóra	Laghi	TOBA_BATAK	Podo	podo	p o d o	p o d o	podo		
106	266	word	Ancóra	Laghi	ENGGANO	Nuchi pecaia	nuchi pecaia	n u ch i # p e c ai a	n u k i # p e k a:i a	nuki peka:ia		
107	266	word	Andare	Pighi	NIAS	M<i>o</i>i	moi	m o i	m o i	moi		
108	266	word	Andare	Pighi	TOBA_BATAK	Lao	lao	l ao	l a:o	la:o		
109	266	word	Andare	Pighi	TOBA_BATAK	Laho	laho	l a h o	l a h o	laho		
110	266	word	Andare	Pighi	ENGGANO	Uacahai	uacahai	u a c a h ai	u a k a h a:i	uakaha:i		
111	266	word	Andare	Pighi	ENGGANO	Uaha	uaha	u a h a	u a h a	uaha		
112	267	word	Andare a caccia	Pighi membúru	NIAS	M<i>o</i>i malu	moi malu	m o i # m a l u	m o i # m a l u	moi malu		
113	267	word	Andare a caccia	Pighi membúru	TOBA_BATAK	Marburu	marburu	m a r b u r u	m a r b u r u	marburu		
114	267	word	Andare a caccia	Pighi membúru	ENGGANO	Uuaha puo còio	uuaha puo còio	u u a h a # p u o # c òi o	u u a h a # p u o # k o:i o	uuaha puo ko:io		
115	267	word	Andare a casa	Pighi ca rúma	NIAS	M<i>o</i> ch<i>o</i> banúa	mo cho banúa	m o # c h o # b a n ú a	m o # k h o # b a n u a	mo kho banua		
116	267	word	Andare a casa	Pighi ca rúma	TOBA_BATAK	Lao tu bagas	lao tu bagas	l ao # t u # b a g a s	l a:o # t u # b a j a s	la:o tu bajas		
117	267	word	Andare a casa	Pighi ca rúma	ENGGANO	Caha iubaha	caha iubaha	c a h a # i u b a h a	k a h a # i u b a h a	kaha iubaha		
118	267	word	Andare a dormire	Pighi tídor	NIAS	M<i>o</i>i mor<i>o</i>	moi moro	m o i # m o r o	m o i # m o r o	moi moro		
119	267	word	Andare a dormire	Pighi tídor	TOBA_BATAK	Lao modom	lao modom	l ao # m o d o m	l a:o # m o d o m	la:o modom		
120	267	word	Andare a dormire	Pighi tídor	ENGGANO	Uaha cabaùho	uaha cabaùho	u a h a # c a b aù h o	u a h a # k a b a:u h o	uaha kaba:uho		
121	267	word	Andare a prendere	Pighi ambil	NIAS	Mahalo	mahalo	m a h a l o	m a h a l o	mahalo		
122	267	word	Andare a prendere	Pighi ambil	TOBA_BATAK	Mangalap	mangalap	m a n g a l a p	m a n j a l a p	manjalap		
123	267	word	Andare a prendere	Pighi ambil	ENGGANO	Uaha mena	uaha mena	u a h a # m e n a	u a h a # m e n a	uaha mena		
124	267	word	Andare in punta di piedi	Pighi plán plán	NIAS	Menana	menana	m e n a n a	m e n a n a	menana		
125	267	word	Andare in punta di piedi	Pighi plán plán	TOBA_BATAK				⁇	⁇		
126	267	word	Andare in punta di piedi	Pighi plán plán	ENGGANO	Bacòcu parihòpi	bacòcu parihòpi	b a c ò c u # p a r i h ò p i	b a k O k u # p a r i x O p i	bakOku parixOpi		
127	267	word	Andar via	Pulá<i>ng</i>	NIAS	Mufano	mufano	m u f a n o	m u f a n o	mufano		
128	267	word	Andar via	Pulá<i>ng</i>	TOBA_BATAK	Laho	laho	l a h o	l a h o	laho		
129	267	word	Andar via	Pulá<i>ng</i>	TOBA_BATAK	Borhat	borhat	b o r h a t	b o r h a t	borhat		
130	267	word	Andar via	Pulá<i>ng</i>	ENGGANO	Abuha puaka	abuha puaka	a b u h a # p u a k a	a b u h a # p u a k a	abuha puaka		
131	267	word	Anello	Tcíntcín	NIAS	Leiduru	leiduru	l ei d u r u	l e:i d u r u	le:iduru		
132	267	word	Anello	Tcíntcín	TOBA_BATAK	Tittin	tittin	t i t t i n	t i t t i n	tittin		
133	267	word	Anello	Tcíntcín	ENGGANO	Carèo apo	carèo apo	c a r è o # a p o	k a r E o # a p o	karEo apo		
134	267	word	Animale acquatico	Binatáng aier	NIAS	Saliwa liwa ba nidano	saliwa liwa ba nidano	s a l i w a # l i w a # b a # n i d a n o	s a l i w a # l i w a # b a # n i d a n o	saliwa liwa ba nidano		
135	267	word	Animale acquatico	Binatáng aier	TOBA_BATAK				⁇	⁇		
136	267	word	Animale acquatico	Binatáng aier	ENGGANO	Cheèpa<rm=""veramente uccello"">	cheèpa	ch e è p a	k e E p a	keEpa		<rm=""veramente uccello"">
137	267	word	Animale terrestre	Binatáng tána	NIAS	Saliwa liwa ba dan<i>o</i>	saliwa liwa ba dano	s a l i w a # l i w a # b a # d a n o	s a l i w a # l i w a # b a # d a n o	saliwa liwa ba dano		
138	267	word	Animale terrestre	Binatáng tána	TOBA_BATAK				⁇	⁇		
139	267	word	Animale terrestre	Binatáng tána	ENGGANO	Láio iane	láio iane	l á i o # i a n e	l a i o # i a n e	laio iane		
140	267	word	Antenato	Nenèc ; Orang dulú	NIAS	Furugo	furugo	f u r u g o	f u r u j o	furujo		
141	267	word	Antenato	Nenèc ; Orang dulú	TOBA_BATAK	Si tuwa tuwa	si tuwa tuwa	s i # t u w a # t u w a	s i # t u w a # t u w a	si tuwa tuwa		
142	267	word	Antenato	Nenèc ; Orang dulú	ENGGANO	Napuaca	napuaca	n a p u a c a	n a p u a k a	napuaka		
143	267	word	Antipatia	Caghelían	NIAS	D<i>o</i>d<i>o</i> ide ide	dodo ide ide	d o d o # i d e # i d e	d o d o # i d e # i d e	dodo ide ide		
144	267	word	Antipatia	Caghelían	TOBA_BATAK				⁇	⁇		
145	267	word	Antipatia	Caghelían	ENGGANO	Cheòba ehapi<rm=""veramente non voglio"">	cheòba ehapi	ch e ò b a # e h a p i	k e O b a # e h a p i	keOba ehapi		<rm=""veramente non voglio"">
146	267	word	Anulare	Giari manis	NIAS	Turu mani	turu mani	t u r u # m a n i	t u r u # m a n i	turu mani		
147	267	word	Anulare	Giari manis	TOBA_BATAK	Giari mánis	giari mánis	gi a r i # m á n i s	c a r i # m a n i s	cari manis		
148	267	word	Anulare	Giari manis	ENGGANO	Eu apo	eu apo	e u # a p o	e u # a p o	eu apo		
149	267	word	Anulare del piede	Giari cachi	NIAS				⁇	⁇		
150	267	word	Anulare del piede	Giari cachi	TOBA_BATAK				⁇	⁇		
151	267	word	Anulare del piede	Giari cachi	ENGGANO	Eminuáe	eminuáe	e m i n u á e	e m i n u a e	eminuae		
152	267	word	Appassito	Burus	NIAS	Aleu	aleu	a l e u	a l e u	aleu		
153	267	word	Appassito	Burus	TOBA_BATAK	Langan	langan	l a n g a n	l a n j a n	lanjan		
154	267	word	Appassito	Burus	ENGGANO	Cabaoha	cabaoha	c a b ao h a	k a b a:o h a	kaba:oha		
155	267	word	Aprire	Bucà	NIAS	Teboca	teboca	t e b o c a	t e b o k a	teboka		
156	267	word	Aprire	Bucà	TOBA_BATAK	Mamuha	mamuha	m a m u h a	m a m u h a	mamuha		
157	267	word	Aprire	Bucà	ENGGANO	Bucae	bucae	b u c ae	b u k a:e	buka:e		
158	267	word	Arco	Pana	NIAS				⁇	⁇		
159	267	word	Arco	Pana	TOBA_BATAK	Dano<rm=""Sanscritto"">	dano	d a n o	d a n o	dano		<rm=""sanscritto"">
160	267	word	Arco	Pana	ENGGANO	Ea pica<rm=""termine usato dai Malesi"">	ea pica	e a # p i c a	e a # p i k a	ea pika		<rm=""termine usato dai malesi"">
161	267	word	Arrampicarsi	Naèc ; Memangiát	NIAS	Lamanu	lamanu	l a m a n u	l a m a n u	lamanu		
162	267	word	Arrampicarsi	Naèc ; Memangiát	TOBA_BATAK	Matugarang	matugarang	m a t u g a r a n g	m a t u j a r a n j	matujaranj		
163	267	word	Arrampicarsi	Naèc ; Memangiát	ENGGANO	Ua cabaccò	ua cabaccò	u a # c a b a cc ò	u a # k a b a k O	ua kabakO		
164	267	word	Arrampicarsi	Naèc ; Memangiát	ENGGANO	Uah itgebe ié ecuo	uah itgebe ié ecuo	u a h # i tg e b e # i é # e c u o	u a h # i c e b e # i e # e k u o	uah icebe ie ekuo		
165	267	word	Arrostire	Pangán	NIAS	Nisala	nisala	n i s a l a	n i s a l a	nisala		
166	267	word	Arrostire	Pangán	TOBA_BATAK	Manaoc	manaoc	m a n ao c	m a n a:o k	mana:ok		
167	267	word	Arrostire	Pangán	ENGGANO	Pabuha eòbi	pabuha eòbi	p a b u h a # e ò b i	p a b u h a # e O b i	pabuha eObi		
168	267	word	Arrostire pollo	Pangán aiam	NIAS	Fanunu manu	fanunu manu	f a n u n u # m a n u	f a n u n u # m a n u	fanunu manu		
169	267	word	Arrostire pollo	Pangán aiam	TOBA_BATAK				⁇	⁇		
170	267	word	Arrostire pollo	Pangán aiam	ENGGANO	Cadicorè	cadicorè	c a d i c o r è	k a d i k o r E	kadikorE		
171	267	word	Asciare legno	Me<i>ng</i>hirís	NIAS	Laòho òho	laòho òho	l aò h o # ò h o	l a:O h o # O h o	la:Oho Oho		
172	267	word	Asciare legno	Me<i>ng</i>hirís	TOBA_BATAK	Manahil	manahil	m a n a h i l	m a n a h i l	manahil		
173	267	word	Asciare legno	Me<i>ng</i>hirís	TOBA_BATAK	Manarangsáng	manarangsáng	m a n a r a n g s á n g	m a n a r a n j s a n j	manaranjsanj		
174	267	word	Asciare legno	Me<i>ng</i>hirís	ENGGANO	Ocaca cuo	ocaca cuo	o c a c a # c u o	o k a k a # k u o	okaka kuo		
175	267	word	Asciugare	Menapù	NIAS	Ogò<i>o</i>	ogòo	o g ò o	o j O o	ojOo		
176	267	word	Asciugare	Menapù	TOBA_BATAK	Mangunsilát	mangunsilát	m a n g u n s i l á t	m a n j u n s i l a t	manjunsilat		
177	267	word	Asciugare	Menapù	ENGGANO	Bacaáia	bacaáia	b a c a á i a	b a k a a i a	bakaaia		
178	267	word	A sinistra	Sabla chiri	NIAS	Ba gabèra	ba gabèra	b a # g a b è r a	b a # j a b E r a	ba jabEra		
179	267	word	A sinistra	Sabla chiri	TOBA_BATAK	Hambiráng	hambiráng	h a m b i r á n g	h a m b i r a n j	hambiranj		
180	267	word	A sinistra	Sabla chiri	ENGGANO	Albaca	albaca	a l b a c a	a l b a k a	albaka		
181	267	word	Aspettare	Tongo	NIAS	Labalobalói	labalobalói	l a b a l o b a l ó i	l a b a l o b a l o i	labalobaloi		
182	267	word	Aspettare	Tongo	TOBA_BATAK	Pa ima hon	pa ima hon	p a # i m a # h o n	p a # i m a # h o n	pa ima hon		
183	267	word	Aspettare	Tongo	ENGGANO	Naahapé	naahapé	n a a h a p é	n a a h a p e	naahape		
184	267	word	Assassinare	Bunù	NIAS	Búnu	búnu	b ú n u	b u n u	bunu		
185	267	word	Assassinare	Bunù	TOBA_BATAK	Mamunu	mamunu	m a m u n u	m a m u n u	mamunu		
186	267	word	Assassinare	Bunù	ENGGANO	Pacahalé	pacahalé	p a c a h a l é	p a k a h a l e	pakahale		
187	267	word	Atap	Atáp	NIAS	Bulu sago	bulu sago	b u l u # s a g o	b u l u # s a j o	bulu sajo		
188	267	word	Atap	Atáp	TOBA_BATAK				⁇	⁇		
189	267	word	Atap	Atáp	ENGGANO	Prururu èuba	prururu èuba	p r u r u r u # è u b a	p r u r u r u # E u b a	prururu Euba		
190	267	word	Attaccare	Tambát ; Icát ; Gantú<i>ng</i>	NIAS				⁇	⁇		
191	267	word	Attaccare	Tambát ; Icát ; Gantú<i>ng</i>	TOBA_BATAK	Gantú<i>ng</i>	gantúng	g a n t ú n g	j a n t u n j	jantunj		
192	267	word	Attaccare	Tambát ; Icát ; Gantú<i>ng</i>	ENGGANO	Paraiá	paraiá	p a r ai á	p a r a:i a	para:ia		
193	267	word	Avambraccio	La<i>ng</i>án ; Ta<i>ng</i>án	NIAS				⁇	⁇		
194	267	word	Avambraccio	La<i>ng</i>án ; Ta<i>ng</i>án	TOBA_BATAK	Ta<i>ng</i>án	tangán	t a n g á n	t a n j a n	tanjan	J. S. A. Van Dissel	
195	267	word	Avambraccio	La<i>ng</i>án ; Ta<i>ng</i>án	ENGGANO	Ehoachia	ehoachia	e h o a ch i a	e h o a k i a	ehoakia		
196	267	word	Avere	Ada	NIAS	So	so	s o	s o	so		
197	267	word	Avere	Ada	TOBA_BATAK	Mamoiòp	mamoiòp	m a m o i ò p	m a m o i O p	mamoiOp	J. S. A. Van Dissel	
198	267	word	Avere	Ada	ENGGANO	Chichía	chichía	ch i ch í a	k i k i a	kikia		
199	267	word	Avere (Non …)	Tida ada	NIAS				⁇	⁇		
200	267	word	Avere (Non …)	Tida ada	TOBA_BATAK	Dan adon	dan adon	d a n # a d o n	d a n # a d o n	dan adon		
201	267	word	Avere (Non …)	Tida ada	ENGGANO	Chèoba	chèoba	ch è o b a	k E o b a	kEoba		
202	267	word	Aver fame	Lepar	NIAS	Olófo	olófo	o l ó f o	o l o f o	olofo		
203	267	word	Aver fame	Lepar	TOBA_BATAK	Rapar	rapar	r a p a r	r a p a r	rapar		
204	267	word	Aver fame	Lepar	ENGGANO	Coignó	coignó	c o i gn ó	k o i ñ o	koiño		
205	267	word	Aver fastidi	Ada susa	NIAS	D<i>o</i>d<i>o</i> bucala	dodo bucala	d o d o # b u c a l a	d o d o # b u k a l a	dodo bukala		
206	267	word	Aver fastidi	Ada susa	TOBA_BATAK				⁇	⁇		
207	267	word	Aver fastidi	Ada susa	ENGGANO	Cucubahu	cucubahu	c u c u b a h u	k u k u b a h u	kukubahu		
208	268	word	Aver sete	Berdahaga	NIAS	D<i>o</i>d<i>o</i> odufo dufo	dodo odufo dufo	d o d o # o d u f o # d u f o	d o d o # o d u f o # d u f o	dodo odufo dufo		
209	268	word	Aver sete	Berdahaga	TOBA_BATAK	Manguwás	manguwás	m a n g u w á s	m a n j u w a s	manjuwas	J. S. A. Van Dissel	
