ID,PAGE,TYPE,ITALIAN,MALAY,DOCULECT,WORD,WORD2,TOBA_BATAK_SOURCE,REMARK
31,266,word,Acqua mare,Aier laút,ENGGANO,Eué,eué,,
32,266,word,Acquavite,Arrác,NIAS,Sópi,sópi,,
33,266,word,Acquavite,Arrác,TOBA_BATAK,"Tuwac<rm=""veramente vino di palma"">",tuwac,J. S. A. Van Dissel,"<rm=""veramente vino di palma"">"
34,266,word,Acquavite,Arrác,ENGGANO,Minu²,minu²,,
35,266,word,A destra,Sablá canán,NIAS,Ba gambólo,ba gambólo,,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE."
36,266,word,A destra,Sablá canán,TOBA_BATAK,Hipas,hipas,J. S. A. Van Dissel,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE."
37,266,word,A destra,Sablá canán,TOBA_BATAK,Malo *,malo *,J. S. A. Van Dissel,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE."
38,266,word,A destra,Sablá canán,ENGGANO,Epeèca,epeèca,,"GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE."
39,266,word,Addio vado via,Tabé sáia pulá<i>ng</i>,NIAS,,,,
40,266,word,Addio vado via,Tabé sáia pulá<i>ng</i>,TOBA_BATAK,Bar bówa bova,bar bówa bova,J. S. A. Van Dissel,
41,266,word,Addio vado via,Tabé sáia pulá<i>ng</i>,ENGGANO,Teeó oacahána,teeó oacahána,,
42,266,word,Affamato,Lépar,NIAS,Olòfo,olòfo,,
43,266,word,Affamato,Lépar,TOBA_BATAK,Male,male,,
44,266,word,Affamato,Lépar,TOBA_BATAK,Tonga,tonga,,
45,266,word,Affamato,Lépar,ENGGANO,Eabahágnia,eabahágnia,,
46,266,word,Affamato,Lépar,ENGGANO,Ecògnio,ecògnio,,
47,266,word,Affilare,Menagiám ; Gossò,NIAS,Mondráli,mondráli,,
48,266,word,Affilare,Menagiám ; Gossò,TOBA_BATAK,Patadgiom,patadgiom,,
49,266,word,Affilare,Menagiám ; Gossò,ENGGANO,Baia eèa,baia eèa,,
50,266,word,Ago per reti e stuoie,Giárum gíari<i>ng</i>,NIAS,,,,
51,266,word,Ago per reti e stuoie,Giárum gíari<i>ng</i>,TOBA_BATAK,Panut,panut,,
52,266,word,Ago per reti e stuoie,Giárum gíari<i>ng</i>,ENGGANO,Eparòpa,eparòpa,,
53,266,word,Agro,Asám,NIAS,Simai,simai,,
54,266,word,Agro,Asám,TOBA_BATAK,,,,
55,266,word,Agro,Asám,ENGGANO,Húche,húche,,
56,266,word,Aiutare,Tolò<i>ng</i>,NIAS,Folulúi,folulúi,,
57,266,word,Aiutare,Tolò<i>ng</i>,TOBA_BATAK,Paingothon,paingothon,,
58,266,word,Aiutare,Tolò<i>ng</i>,ENGGANO,Cuhái,cuhái,,
59,266,word,Ala,Saiáp,NIAS,Casafi,casafi,,
60,266,word,Ala,Saiáp,TOBA_BATAK,Habong,habong,,
61,266,word,Ala,Saiáp,ENGGANO,Eápo cheèpa,eápo cheèpa,,
62,266,word,Albero,Pohún caiú,NIAS,T<i>o</i>laghéu,tolaghéu,,
63,266,word,Albero,Pohún caiú,TOBA_BATAK,Batang,batang,,
64,266,word,Albero,Pohún caiú,ENGGANO,Eiocúo,eiocúo,,
65,266,word,Albero,Pohún caiú,ENGGANO,Epúno ito,epúno ito,,
66,266,word,Albero di cocco,Pohún clapá,NIAS,Ohi,ohi,,
67,266,word,Albero di cocco,Pohún clapá,TOBA_BATAK,Négiur,négiur,J. S. A. Van Dissel,
68,266,word,Albero di cocco,Pohún clapá,ENGGANO,Epúno pó,epúno pó,,
69,266,word,Al di qua,Sablá sini,NIAS,Tano andré,tano andré,,
70,266,word,Al di qua,Sablá sini,TOBA_BATAK,Di son,di son,J. S. A. Van Dissel,
71,266,word,Al di qua,Sablá sini,ENGGANO,Mahatcè,mahatcè,,
72,266,word,Al di là,Sablá sána,NIAS,Gièfo,gièfo,,
73,266,word,Al di là,Sablá sána,TOBA_BATAK,Di adúwi,di adúwi,J. S. A. Van Dissel,
74,266,word,Al di là,Sablá sána,ENGGANO,Maha io,maha io,,
75,266,word,Aldisopra,Diatás,NIAS,Si ava,si ava,,
76,266,word,Aldisopra,Diatás,TOBA_BATAK,Di atas,di atas,J. S. A. Van Dissel,
77,266,word,Aldisopra,Diatás,ENGGANO,Itcébe,itcébe,,
78,266,word,Allattare,Menúsu,NIAS,Di fèinu,di fèinu,,
79,266,word,Allattare,Menúsu,TOBA_BATAK,Pa susu hon,pa susu hon,J. S. A. Van Dissel,
80,266,word,Allattare,Menúsu,ENGGANO,Pecocòbu,pecocòbu,,
81,266,word,Alto,Tenghí,NIAS,Alawa,alawa,,
82,266,word,Alto,Tenghí,TOBA_BATAK,Timbo,timbo,,
83,266,word,Alto,Tenghí,ENGGANO,Tgiebè,tgiebè,,
84,266,word,Alzare peso,Naèc,NIAS,Monooi,monooi,,
85,266,word,Alzare peso,Naèc,TOBA_BATAK,Sihanti<i>ng</i>,sihanting,,
86,266,word,Alzare peso,Naèc,ENGGANO,Balalát,balalát,,
87,266,word,Alzarsi al mattino,Bangún,NIAS,Maóso sangahúlo wòngi,maóso sangahúlo wòngi,,
88,266,word,Alzarsi al mattino,Bangún,TOBA_BATAK,Tarsungul,tarsungul,J. S. A. Van Dissel,
89,266,word,Alzarsi al mattino,Bangún,ENGGANO,Maénu,maénu,,
90,266,word,Amare (d'amore),Beráhi,NIAS,Omássidi,omássidi,,
91,266,word,Amare (d'amore),Beráhi,TOBA_BATAK,Manghasi,manghasi,,
92,266,word,Amare (d'amore),Beráhi,ENGGANO,Cahapí,cahapí,,
93,266,word,Amaro,Páit,NIAS,Afeto,afeto,,
94,266,word,Amaro,Páit,TOBA_BATAK,Pait,pait,J. S. A. Van Dissel,
95,266,word,Amaro,Páit,ENGGANO,Cadahóai,cadahóai,,
96,266,word,Amico,Sóbat,NIAS,Aw<i>o</i>,awo,,
97,266,word,Amico,Sóbat,TOBA_BATAK,Ale²,ale²,,
98,266,word,Amico,Sóbat,ENGGANO,Paano,paano,,
99,266,word,Amico,Sóbat,ENGGANO,Opahawo,opahawo,,
100,266,word,Ammalarsi,Giatò sacchè,NIAS,Tobali mafóch<i>o</i>,tobali mafócho,,
101,266,word,Ammalarsi,Giatò sacchè,TOBA_BATAK,Malla,malla,J. S. A. Van Dissel,
102,266,word,Ammalarsi,Giatò sacchè,ENGGANO,Cabapuho anòca,cabapuho anòca,,
103,266,word,Ancóra,Laghi,NIAS,To,to,,
104,266,word,Ancóra,Laghi,TOBA_BATAK,Dape,dape,,
105,266,word,Ancóra,Laghi,TOBA_BATAK,Podo,podo,,
106,266,word,Ancóra,Laghi,ENGGANO,Nuchi pecaia,nuchi pecaia,,
107,266,word,Andare,Pighi,NIAS,M<i>o</i>i,moi,,
108,266,word,Andare,Pighi,TOBA_BATAK,Lao,lao,,
109,266,word,Andare,Pighi,TOBA_BATAK,Laho,laho,,
110,266,word,Andare,Pighi,ENGGANO,Uacahai,uacahai,,
111,266,word,Andare,Pighi,ENGGANO,Uaha,uaha,,
112,267,word,Andare a caccia,Pighi membúru,NIAS,M<i>o</i>i malu,moi malu,,
113,267,word,Andare a caccia,Pighi membúru,TOBA_BATAK,Marburu,marburu,,
114,267,word,Andare a caccia,Pighi membúru,ENGGANO,Uuaha puo còio,uuaha puo còio,,
115,267,word,Andare a casa,Pighi ca rúma,NIAS,M<i>o</i> ch<i>o</i> banúa,mo cho banúa,,
116,267,word,Andare a casa,Pighi ca rúma,TOBA_BATAK,Lao tu bagas,lao tu bagas,,
117,267,word,Andare a casa,Pighi ca rúma,ENGGANO,Caha iubaha,caha iubaha,,
118,267,word,Andare a dormire,Pighi tídor,NIAS,M<i>o</i>i mor<i>o</i>,moi moro,,
119,267,word,Andare a dormire,Pighi tídor,TOBA_BATAK,Lao modom,lao modom,,
120,267,word,Andare a dormire,Pighi tídor,ENGGANO,Uaha cabaùho,uaha cabaùho,,
121,267,word,Andare a prendere,Pighi ambil,NIAS,Mahalo,mahalo,,
122,267,word,Andare a prendere,Pighi ambil,TOBA_BATAK,Mangalap,mangalap,,
123,267,word,Andare a prendere,Pighi ambil,ENGGANO,Uaha mena,uaha mena,,
124,267,word,Andare in punta di piedi,Pighi plán plán,NIAS,Menana,menana,,
125,267,word,Andare in punta di piedi,Pighi plán plán,TOBA_BATAK,,,,
126,267,word,Andare in punta di piedi,Pighi plán plán,ENGGANO,Bacòcu parihòpi,bacòcu parihòpi,,
127,267,word,Andar via,Pulá<i>ng</i>,NIAS,Mufano,mufano,,
128,267,word,Andar via,Pulá<i>ng</i>,TOBA_BATAK,Laho,laho,,
129,267,word,Andar via,Pulá<i>ng</i>,TOBA_BATAK,Borhat,borhat,,
130,267,word,Andar via,Pulá<i>ng</i>,ENGGANO,Abuha puaka,abuha puaka,,
131,267,word,Anello,Tcíntcín,NIAS,Leiduru,leiduru,,
132,267,word,Anello,Tcíntcín,TOBA_BATAK,Tittin,tittin,,
133,267,word,Anello,Tcíntcín,ENGGANO,Carèo apo,carèo apo,,
134,267,word,Animale acquatico,Binatáng aier,NIAS,Saliwa liwa ba nidano,saliwa liwa ba nidano,,
135,267,word,Animale acquatico,Binatáng aier,TOBA_BATAK,,,,
136,267,word,Animale acquatico,Binatáng aier,ENGGANO,"Cheèpa<rm=""veramente uccello"">",cheèpa,,"<rm=""veramente uccello"">"
137,267,word,Animale terrestre,Binatáng tána,NIAS,Saliwa liwa ba dan<i>o</i>,saliwa liwa ba dano,,
138,267,word,Animale terrestre,Binatáng tána,TOBA_BATAK,,,,
139,267,word,Animale terrestre,Binatáng tána,ENGGANO,Láio iane,láio iane,,
140,267,word,Antenato,Nenèc ; Orang dulú,NIAS,Furugo,furugo,,
141,267,word,Antenato,Nenèc ; Orang dulú,TOBA_BATAK,Si tuwa tuwa,si tuwa tuwa,,
142,267,word,Antenato,Nenèc ; Orang dulú,ENGGANO,Napuaca,napuaca,,
143,267,word,Antipatia,Caghelían,NIAS,D<i>o</i>d<i>o</i> ide ide,dodo ide ide,,
144,267,word,Antipatia,Caghelían,TOBA_BATAK,,,,
145,267,word,Antipatia,Caghelían,ENGGANO,"Cheòba ehapi<rm=""veramente non voglio"">",cheòba ehapi,,"<rm=""veramente non voglio"">"
146,267,word,Anulare,Giari manis,NIAS,Turu mani,turu mani,,
147,267,word,Anulare,Giari manis,TOBA_BATAK,Giari mánis,giari mánis,,
148,267,word,Anulare,Giari manis,ENGGANO,Eu apo,eu apo,,
149,267,word,Anulare del piede,Giari cachi,NIAS,,,,
150,267,word,Anulare del piede,Giari cachi,TOBA_BATAK,,,,
151,267,word,Anulare del piede,Giari cachi,ENGGANO,Eminuáe,eminuáe,,
152,267,word,Appassito,Burus,NIAS,Aleu,aleu,,
153,267,word,Appassito,Burus,TOBA_BATAK,Langan,langan,,
154,267,word,Appassito,Burus,ENGGANO,Cabaoha,cabaoha,,
155,267,word,Aprire,Bucà,NIAS,Teboca,teboca,,
156,267,word,Aprire,Bucà,TOBA_BATAK,Mamuha,mamuha,,
157,267,word,Aprire,Bucà,ENGGANO,Bucae,bucae,,
158,267,word,Arco,Pana,NIAS,,,,
159,267,word,Arco,Pana,TOBA_BATAK,"Dano<rm=""Sanscritto"">",dano,,"<rm=""sanscritto"">"
160,267,word,Arco,Pana,ENGGANO,"Ea pica<rm=""termine usato dai Malesi"">",ea pica,,"<rm=""termine usato dai malesi"">"
161,267,word,Arrampicarsi,Naèc ; Memangiát,NIAS,Lamanu,lamanu,,
162,267,word,Arrampicarsi,Naèc ; Memangiát,TOBA_BATAK,Matugarang,matugarang,,
163,267,word,Arrampicarsi,Naèc ; Memangiát,ENGGANO,Ua cabaccò,ua cabaccò,,
164,267,word,Arrampicarsi,Naèc ; Memangiát,ENGGANO,Uah itgebe ié ecuo,uah itgebe ié ecuo,,
165,267,word,Arrostire,Pangán,NIAS,Nisala,nisala,,
166,267,word,Arrostire,Pangán,TOBA_BATAK,Manaoc,manaoc,,
167,267,word,Arrostire,Pangán,ENGGANO,Pabuha eòbi,pabuha eòbi,,
168,267,word,Arrostire pollo,Pangán aiam,NIAS,Fanunu manu,fanunu manu,,
169,267,word,Arrostire pollo,Pangán aiam,TOBA_BATAK,,,,
170,267,word,Arrostire pollo,Pangán aiam,ENGGANO,Cadicorè,cadicorè,,
171,267,word,Asciare legno,Me<i>ng</i>hirís,NIAS,Laòho òho,laòho òho,,
172,267,word,Asciare legno,Me<i>ng</i>hirís,TOBA_BATAK,Manahil,manahil,,
173,267,word,Asciare legno,Me<i>ng</i>hirís,TOBA_BATAK,Manarangsáng,manarangsáng,,
174,267,word,Asciare legno,Me<i>ng</i>hirís,ENGGANO,Ocaca cuo,ocaca cuo,,
175,267,word,Asciugare,Menapù,NIAS,Ogò<i>o</i>,ogòo,,
176,267,word,Asciugare,Menapù,TOBA_BATAK,Mangunsilát,mangunsilát,,
177,267,word,Asciugare,Menapù,ENGGANO,Bacaáia,bacaáia,,
178,267,word,A sinistra,Sabla chiri,NIAS,Ba gabèra,ba gabèra,,
179,267,word,A sinistra,Sabla chiri,TOBA_BATAK,Hambiráng,hambiráng,,
180,267,word,A sinistra,Sabla chiri,ENGGANO,Albaca,albaca,,
181,267,word,Aspettare,Tongo,NIAS,Labalobalói,labalobalói,,
182,267,word,Aspettare,Tongo,TOBA_BATAK,Pa ima hon,pa ima hon,,
183,267,word,Aspettare,Tongo,ENGGANO,Naahapé,naahapé,,
184,267,word,Assassinare,Bunù,NIAS,Búnu,búnu,,
185,267,word,Assassinare,Bunù,TOBA_BATAK,Mamunu,mamunu,,
186,267,word,Assassinare,Bunù,ENGGANO,Pacahalé,pacahalé,,
187,267,word,Atap,Atáp,NIAS,Bulu sago,bulu sago,,
188,267,word,Atap,Atáp,TOBA_BATAK,,,,
189,267,word,Atap,Atáp,ENGGANO,Prururu èuba,prururu èuba,,
190,267,word,Attaccare,Tambát ; Icát ; Gantú<i>ng</i>,NIAS,,,,
191,267,word,Attaccare,Tambát ; Icát ; Gantú<i>ng</i>,TOBA_BATAK,Gantú<i>ng</i>,gantúng,,
192,267,word,Attaccare,Tambát ; Icát ; Gantú<i>ng</i>,ENGGANO,Paraiá,paraiá,,
193,267,word,Avambraccio,La<i>ng</i>án ; Ta<i>ng</i>án,NIAS,,,,
194,267,word,Avambraccio,La<i>ng</i>án ; Ta<i>ng</i>án,TOBA_BATAK,Ta<i>ng</i>án,tangán,J. S. A. Van Dissel,
195,267,word,Avambraccio,La<i>ng</i>án ; Ta<i>ng</i>án,ENGGANO,Ehoachia,ehoachia,,
196,267,word,Avere,Ada,NIAS,So,so,,
197,267,word,Avere,Ada,TOBA_BATAK,Mamoiòp,mamoiòp,J. S. A. Van Dissel,
198,267,word,Avere,Ada,ENGGANO,Chichía,chichía,,
199,267,word,Avere (Non …),Tida ada,NIAS,,,,
200,267,word,Avere (Non …),Tida ada,TOBA_BATAK,Dan adon,dan adon,,
201,267,word,Avere (Non …),Tida ada,ENGGANO,Chèoba,chèoba,,
202,267,word,Aver fame,Lepar,NIAS,Olófo,olófo,,
203,267,word,Aver fame,Lepar,TOBA_BATAK,Rapar,rapar,,
204,267,word,Aver fame,Lepar,ENGGANO,Coignó,coignó,,
205,267,word,Aver fastidi,Ada susa,NIAS,D<i>o</i>d<i>o</i> bucala,dodo bucala,,
206,267,word,Aver fastidi,Ada susa,TOBA_BATAK,,,,
207,267,word,Aver fastidi,Ada susa,ENGGANO,Cucubahu,cucubahu,,
208,268,word,Aver sete,Berdahaga,NIAS,D<i>o</i>d<i>o</i> odufo dufo,dodo odufo dufo,,
209,268,word,Aver sete,Berdahaga,TOBA_BATAK,Manguwás,manguwás,J. S. A. Van Dissel,
210,268,word,Aver sete,Berdahaga,ENGGANO,Chibo,chibo,,
211,268,word,Azzuffarsi,Berpráng ; Berpukúl,NIAS,Fasóndra,fasóndra,,
212,268,word,Azzuffarsi,Berpráng ; Berpukúl,TOBA_BATAK,Manghinsadái,manghinsadái,,
213,268,word,Azzuffarsi,Berpráng ; Berpukúl,ENGGANO,Bacai,bacai,,
214,268,word,Baciare,Ciúm,NIAS,Agombáva,agombáva,,
215,268,word,Baciare,Ciúm,TOBA_BATAK,Mangúmma,mangúmma,J. S. A. Van Dissel,
216,268,word,Baciare,Ciúm,ENGGANO,Manu,manu,,
217,268,word,Baffi,Misèi,NIAS,Bumbèwe,bumbèwe,,
218,268,word,Baffi,Misèi,TOBA_BATAK,Gumis,gumis,J. S. A. Van Dissel,
219,268,word,Baffi,Misèi,TOBA_BATAK,Misè *,misè *,J. S. A. Van Dissel,
220,268,word,Baffi,Misèi,ENGGANO,Pruru ripodia,pruru ripodia,,
221,268,word,Bagaglio,Barang²,NIAS,Fasoro,fasoro,,
222,268,word,Bagaglio,Barang²,TOBA_BATAK,Barang²,barang²,J. S. A. Van Dissel,
223,268,word,Bagaglio,Barang²,ENGGANO,Dobu,dobu,,
224,268,word,Bagnarsi,Mandi,NIAS,Mondri,mondri,,
225,268,word,Bagnarsi,Mandi,TOBA_BATAK,Maridi,maridi,J. S. A. Van Dissel,
226,268,word,Bagnarsi,Mandi,ENGGANO,Baèche,baèche,,
227,268,word,Bagno,Tampát mandi,NIAS,Ba’a vemóndri,ba’a vemóndri,,
228,268,word,Bagno,Tampát mandi,TOBA_BATAK,,,J. S. A. Van Dissel,
229,268,word,Bagno,Tampát mandi,ENGGANO,Ebo iaha baèche,ebo iaha baèche,,
230,268,word,Ballo donne,Menari,NIAS,Manari,manari,,
231,268,word,Ballo donne,Menari,TOBA_BATAK,Manortòr,manortòr,,
232,268,word,Ballo donne,Menari,ENGGANO,Maenu cahora,maenu cahora,,
233,268,word,Ballo uomini,Menari,NIAS,Maulèia,maulèia,,
234,268,word,Ballo uomini,Menari,TOBA_BATAK,Manortòr,manortòr,,
235,268,word,Ballo uomini,Menari,ENGGANO,Maenu cahora,maenu cahora,,
236,268,word,Bambini,Anac,NIAS,Iraòno,iraòno,,
237,268,word,Bambini,Anac,TOBA_BATAK,Dacdanac,dacdanac,,
238,268,word,Bambini,Anac,ENGGANO,Pamo,pamo,,
239,268,word,Bambini,Anac,ENGGANO,Epa,epa,,
240,268,word,Bambù,Bulu,NIAS,Léwu,léwu,,
241,268,word,Bambù,Bulu,TOBA_BATAK,Bulu,bulu,,
242,268,word,Bambù,Bulu,ENGGANO,Abeha,abeha,,
243,268,word,Bambù per attingere acqua,Garighíc ; Chendí,NIAS,Cole²,cole²,,
244,268,word,Bambù per attingere acqua,Garighíc ; Chendí,TOBA_BATAK,Poti<i>ng</i>,poting,,
245,268,word,Bambù per attingere acqua,Garighíc ; Chendí,ENGGANO,Enoà,enoà,,
246,268,word,Banane,Pisa<i>ng</i>,NIAS,Bae,bae,,
247,268,word,Banane,Pisa<i>ng</i>,TOBA_BATAK,Gaol,gaol,,
248,268,word,Banane,Pisa<i>ng</i>,ENGGANO,Eígio,eígio,,
249,268,word,Banco di corallo,Cara<i>ng</i>án,NIAS,Gozo,gozo,,
250,268,word,Banco di corallo,Cara<i>ng</i>án,TOBA_BATAK,"Hará<i>ng</i><rm=""dal malese"">",haráng,J. S. A. Van Dissel,"<rm=""dal malese"">"
251,268,word,Banco di corallo,Cara<i>ng</i>án,ENGGANO,Eèa,eèa,,
252,268,word,Barattare,Tocar,NIAS,Fatucao,fatucao,,
253,268,word,Barattare,Tocar,TOBA_BATAK,Paubahon,paubahon,,
254,268,word,Barattare,Tocar,ENGGANO,Pachèli,pachèli,,
255,268,word,Barba,Gia<i>ng</i>gút,NIAS,,,,
256,268,word,Barba,Gia<i>ng</i>gút,TOBA_BATAK,Giangút,giangút,J. S. A. Van Dissel,
257,268,word,Barba,Gia<i>ng</i>gút,ENGGANO,Prururu ipo,prururu ipo,,
258,268,word,Barba a punta,Gia<i>ng</i>gút pangiá<i>ng</i>,NIAS,Gambi,gambi,,
259,268,word,Barba a punta,Gia<i>ng</i>gút pangiá<i>ng</i>,TOBA_BATAK,Giangút,giangút,J. S. A. Van Dissel,
260,268,word,Barba a punta,Gia<i>ng</i>gút pangiá<i>ng</i>,ENGGANO,Prururu chidía,prururu chidía,,
261,268,word,Barba a sulle guance,Tciambá<i>ng</i>,NIAS,R<i>o</i>ng<i>o</i>,rongo,,
262,268,word,Barba a sulle guance,Tciambá<i>ng</i>,TOBA_BATAK,Banc,banc,J. S. A. Van Dissel,
263,268,word,Barba a sulle guance,Tciambá<i>ng</i>,ENGGANO,,,,
264,268,word,Barca a remi,Prau daiúng,NIAS,Dundráha,dundráha,,
265,268,word,Barca a remi,Prau daiúng,TOBA_BATAK,Sòlu,sòlu,,
266,268,word,Barca a remi,Prau daiúng,ENGGANO,Elòha,elòha,,
267,268,word,Barca a vela,Prau laiár,NIAS,Owo solòio,owo solòio,,
268,268,word,Barca a vela,Prau laiár,TOBA_BATAK,Pindís,pindís,J. S. A. Van Dissel,
269,268,word,Barca a vela,Prau laiár,ENGGANO,,,,
270,268,word,Basta ǃ,Sampé,NIAS,Noá,noá,,
271,268,word,Basta ǃ,Sampé,TOBA_BATAK,Sappè,sappè,,
272,268,word,Basta ǃ,Sampé,ENGGANO,Abacochía,abacochía,,
273,268,word,Bastantemente,Pada,NIAS,Tob<i>o</i>no,tobono,,
274,268,word,Bastantemente,Pada,TOBA_BATAK,Pala,pala,J. S. A. Van Dissel,
275,268,word,Bastantemente,Pada,ENGGANO,Abóha,abóha,,
276,268,word,Bello,Bagús,NIAS,S<i>o</i>chi,sochi,,
277,268,word,Bello,Bagús,TOBA_BATAK,Dengán,dengán,,
278,268,word,Bello,Bagús,ENGGANO,Cáua,cáua,,
279,268,word,Bere,Minúm,NIAS,Famadu,famadu,,
280,268,word,Bere,Minúm,TOBA_BATAK,Manhinúm,manhinúm,,
281,268,word,Bere,Minúm,ENGGANO,Baigiòho,baigiòho,,
282,268,word,Bianco,Putí,NIAS,Afusi,afusi,,
283,268,word,Bianco,Putí,TOBA_BATAK,Bottar,bottar,,
284,268,word,Bianco,Putí,ENGGANO,Caudáhio,caudáhio,,
285,268,word,Bocca,Mulút,NIAS,Bava,bava,,
286,268,word,Bocca,Mulút,TOBA_BATAK,Bawa,bawa,,
287,268,word,Bocca,Mulút,ENGGANO,Eca,eca,,
288,268,word,Braccialetto,Gla<i>ng</i> Ta<i>ng</i>án,NIAS,Aia mbul<i>o</i>cha,aia mbulocha,,
289,268,word,Braccialetto,Gla<i>ng</i> Ta<i>ng</i>án,TOBA_BATAK,Lèa<i>ng</i>,lèang,,
290,268,word,Braccialetto,Gla<i>ng</i> Ta<i>ng</i>án,ENGGANO,Chinacò,chinacò,,
291,268,word,Braccio,La<i>ng</i>án ; Ta<i>ng</i>án,NIAS,Siu,siu,,
292,268,word,Braccio,La<i>ng</i>án ; Ta<i>ng</i>án,TOBA_BATAK,Gólang,gólang,J. S. A. Van Dissel,
293,268,word,Braccio,La<i>ng</i>án ; Ta<i>ng</i>án,ENGGANO,Apo,apo,,
294,268,word,Braccio,La<i>ng</i>án ; Ta<i>ng</i>án,ENGGANO,Earahaori,earahaori,,
295,268,word,Bramare,Succá,NIAS,Uhalo,uhalo,,
296,268,word,Bramare,Succá,TOBA_BATAK,Haghi iòt,haghi iòt,,
297,268,word,Bramare,Succá,TOBA_BATAK,Ra,ra,,
298,268,word,Bramare,Succá,ENGGANO,Cahápi,cahápi,,
299,268,word,Brivido di febbre,Gelugút sebáb demóm,NIAS,Otu²,otu²,,
300,268,word,Brivido di febbre,Gelugút sebáb demóm,TOBA_BATAK,Manghirgir,manghirgir,,
301,268,word,Brivido di febbre,Gelugút sebáb demóm,ENGGANO,Eoho,eoho,,
302,268,word,Bruciare (Cucinare troppo),Bacar,NIAS,Acògi,acògi,,
303,268,word,Bruciare (Cucinare troppo),Bacar,TOBA_BATAK,Masac,masac,,
304,268,word,Bruciare (Cucinare troppo),Bacar,TOBA_BATAK,Gor,gor,,
305,268,word,Bruciare (Cucinare troppo),Bacar,ENGGANO,Bachíco,bachíco,,
306,268,word,Bruciare,Ber<i>ng</i>ala,NIAS,Atunu,atunu,,
307,268,word,Bruciare,Ber<i>ng</i>ala,TOBA_BATAK,Matutúng,matutúng,,
308,268,word,Bruciare,Ber<i>ng</i>ala,ENGGANO,Cachíco,cachíco,,
309,268,word,Brutto,Burúc,NIAS,L<i>o</i> s<i>o</i>chi,lo sochi,,
