ID	PAGE	TYPE	ITALIAN	MALAY	NIAS	TOBA_BATAK	ENGGANO	MALAY_1	NIAS_1	TOBA_BATAK_1	ENGGANO_1	NIAS_1_rm	TOBA_BATAK_1_sem	TOBA_BATAK_1_rm	ENGGANO_1_sem	ENGGANO_1_rm	REMARK	TOBA_BATAK_SOURCE
14	266	word	A destra	Sablá canán	Ba gambólo	Malo *	Epeèca	Sablá canán	Ba gambólo	Malo *	Epeèca						GPWR--When in the Toba-Batak side there are two words and one is marked with asterisk, like in this line, I include the asterisk and keep including the content of the TOBA-BATAK-SOURCE.	J. S. A. Van Dissel
15	266	word	Addio vado via	Tabé sáia pulá<i>ng</i>		Bar bówa bova	Teeó oacahána	Tabé sáia puláng		Bar bówa bova	Teeó oacahána							J. S. A. Van Dissel
16	266	word	Affamato	Lépar	Olòfo	Male	Eabahágnia	Lépar	Olòfo	Male	Eabahágnia							
17	266	word	Affamato	Lépar	Olòfo	Male	Ecògnio	Lépar	Olòfo	Male	Ecògnio							
18	266	word	Affamato	Lépar	Olòfo	Tonga	Eabahágnia	Lépar	Olòfo	Tonga	Eabahágnia							
19	266	word	Affamato	Lépar	Olòfo	Tonga	Ecògnio	Lépar	Olòfo	Tonga	Ecògnio							
20	266	word	Affilare	Menagiám	Mondráli	Patadgiom	Baia eèa	Menagiám	Mondráli	Patadgiom	Baia eèa							
21	266	word	Affilare	Gossò	Mondráli	Patadgiom	Baia eèa	Gossò	Mondráli	Patadgiom	Baia eèa							
22	266	word	Ago per reti e stuoie	Giárum gíari<i>ng</i>		Panut	Eparòpa	Giárum gíaring		Panut	Eparòpa							
23	266	word	Agro	Asám	Simai		Húche	Asám	Simai		Húche							
24	266	word	Aiutare	Tolò<i>ng</i>	Folulúi	Paingothon	Cuhái	Tolòng	Folulúi	Paingothon	Cuhái							
25	266	word	Ala	Saiáp	Casafi	Habong	Eápo cheèpa	Saiáp	Casafi	Habong	Eápo cheèpa							
26	266	word	Albero	Pohún caiú	T<i>o</i>laghéu	Batang	Eiocúo	Pohún caiú	Tolaghéu	Batang	Eiocúo							
27	266	word	Albero	Pohún caiú	T<i>o</i>laghéu	Batang	Epúno ito	Pohún caiú	Tolaghéu	Batang	Epúno ito							
28	266	word	Albero di cocco	Pohún clapá	Ohi	Négiur	Epúno pó	Pohún clapá	Ohi	Négiur	Epúno pó							J. S. A. Van Dissel
29	266	word	Al di qua	Sablá sini	Tano andré	Di son	Mahatcè	Sablá sini	Tano andré	Di son	Mahatcè							J. S. A. Van Dissel
30	266	word	Al di là	Sablá sána	Gièfo	Di adúwi	Maha io	Sablá sána	Gièfo	Di adúwi	Maha io							J. S. A. Van Dissel
31	266	word	Aldisopra	Diatás	Si ava	Di atas	Itcébe	Diatás	Si ava	Di atas	Itcébe							J. S. A. Van Dissel
32	266	word	Allattare	Menúsu	Di fèinu	Pa susu hon	Pecocòbu	Menúsu	Di fèinu	Pa susu hon	Pecocòbu							J. S. A. Van Dissel
33	266	word	Alto	Tenghí	Alawa	Timbo	Tgiebè	Tenghí	Alawa	Timbo	Tgiebè							
34	266	word	Alzare peso	Naèc	Monooi	Sihanti<i>ng</i>	Balalát	Naèc	Monooi	Sihanting	Balalát							
35	266	word	Alzarsi al mattino	Bangún	Maóso sangahúlo wòngi	Tarsungul	Maénu	Bangún	Maóso sangahúlo wòngi	Tarsungul	Maénu							J. S. A. Van Dissel
36	266	word	Amare (d'amore)	Beráhi	Omássidi	Manghasi	Cahapí	Beráhi	Omássidi	Manghasi	Cahapí							
37	266	word	Amaro	Páit	Afeto	Pait	Cadahóai	Páit	Afeto	Pait	Cadahóai							J. S. A. Van Dissel
38	266	word	Amico	Sóbat	Aw<i>o</i>	Ale²	Paano	Sóbat	Awo	Ale²	Paano							
39	266	word	Amico	Sóbat	Aw<i>o</i>	Ale²	Opahawo	Sóbat	Awo	Ale²	Opahawo							
40	266	word	Ammalarsi	Giatò sacchè	Tobali mafóch<i>o</i>	Malla	Cabapuho anòca	Giatò sacchè	Tobali mafócho	Malla	Cabapuho anòca							J. S. A. Van Dissel
41	266	word	Ancóra	Laghi	To	Dape	Nuchi pecaia	Laghi	To	Dape	Nuchi pecaia							
42	266	word	Ancóra	Laghi	To	Podo	Nuchi pecaia	Laghi	To	Podo	Nuchi pecaia							
43	266	word	Andare	Pighi	M<i>o</i>i	Lao	Uacahai	Pighi	Moi	Lao	Uacahai							
44	266	word	Andare	Pighi	M<i>o</i>i	Lao	Uaha	Pighi	Moi	Lao	Uaha							
45	266	word	Andare	Pighi	M<i>o</i>i	Laho	Uacahai	Pighi	Moi	Laho	Uacahai							
46	266	word	Andare	Pighi	M<i>o</i>i	Laho	Uaha	Pighi	Moi	Laho	Uaha							
47	267	word	Andare a caccia	Pighi membúru	M<i>o</i>i malu	Marburu	Uuaha puo còio	Pighi membúru	Moi malu	Marburu	Uuaha puo còio							
48	267	word	Andare a casa	Pighi ca rúma	M<i>o</i> ch<i>o</i> banúa	Lao tu bagas	Caha iubaha	Pighi ca rúma	Mo cho banúa	Lao tu bagas	Caha iubaha							
49	267	word	Andare a dormire	Pighi tídor	M<i>o</i>i mor<i>o</i>	Lao modom	Uaha cabaùho	Pighi tídor	Moi moro	Lao modom	Uaha cabaùho							
50	267	word	Andare a prendere	Pighi ambil	Mahalo	Mangalap	Uaha mena	Pighi ambil	Mahalo	Mangalap	Uaha mena							
51	267	word	Andare in punta di piedi	Pighi plán plán	Menana		Bacòcu parihòpi	Pighi plán plán	Menana		Bacòcu parihòpi							
52	267	word	Andar via	Pulá<i>ng</i>	Mufano	Laho	Abuha puaka	Puláng	Mufano	Laho	Abuha puaka							
53	267	word	Andar via	Pulá<i>ng</i>	Mufano	Borhat	Abuha puaka	Puláng	Mufano	Borhat	Abuha puaka							
54	267	word	Anello	Tcíntcín	Leiduru	Tittin	Carèo apo	Tcíntcín	Leiduru	Tittin	Carèo apo							
55	267	word	Animale acquatico	Binatáng aier	Saliwa liwa ba nidano		Cheèpa<rm=""veramente uccello"">	Binatáng aier	Saliwa liwa ba nidano		Cheèpa					veramente uccello		
56	267	word	Animale terrestre	Binatáng tána	Saliwa liwa ba dan<i>o</i>		Láio iane	Binatáng tána	Saliwa liwa ba dano		Láio iane							
57	267	word	Antenato	Nenèc	Furugo	Si tuwa tuwa	Napuaca	Nenèc	Furugo	Si tuwa tuwa	Napuaca							
58	267	word	Antenato	Orang dulú	Furugo	Si tuwa tuwa	Napuaca	Orang dulú	Furugo	Si tuwa tuwa	Napuaca							
59	267	word	Antipatia	Caghelían	D<i>o</i>d<i>o</i> ide ide		Cheòba ehapi<rm=""veramente non voglio"">	Caghelían	Dodo ide ide		Cheòba ehapi					veramente non voglio		
60	267	word	Anulare	Giari manis	Turu mani	Giari mánis	Eu apo	Giari manis	Turu mani	Giari mánis	Eu apo							
61	267	word	Anulare del piede	Giari cachi			Eminuáe	Giari cachi			Eminuáe							
62	267	word	Appassito	Burus	Aleu	Langan	Cabaoha	Burus	Aleu	Langan	Cabaoha							
63	267	word	Aprire	Bucà	Teboca	Mamuha	Bucae	Bucà	Teboca	Mamuha	Bucae							
64	267	word	Arco	Pana		Dano<rm=""Sanscritto"">	Ea pica<rm=""termine usato dai Malesi"">	Pana		Dano	Ea pica			Sanscritto		termine usato dai Malesi		
65	267	word	Arrampicarsi	Naèc	Lamanu	Matugarang	Ua cabaccò	Naèc	Lamanu	Matugarang	Ua cabaccò							
66	267	word	Arrampicarsi	Naèc	Lamanu	Matugarang	Uah itgebe ié ecuo	Naèc	Lamanu	Matugarang	Uah itgebe ié ecuo							
67	267	word	Arrampicarsi	Memangiát	Lamanu	Matugarang	Ua cabaccò	Memangiát	Lamanu	Matugarang	Ua cabaccò							
68	267	word	Arrampicarsi	Memangiát	Lamanu	Matugarang	Uah itgebe ié ecuo	Memangiát	Lamanu	Matugarang	Uah itgebe ié ecuo							
69	267	word	Arrostire	Pangán	Nisala	Manaoc	Pabuha eòbi	Pangán	Nisala	Manaoc	Pabuha eòbi							
70	267	word	Arrostire pollo	Pangán aiam	Fanunu manu		Cadicorè	Pangán aiam	Fanunu manu		Cadicorè							
71	267	word	Asciare legno	Me<i>ng</i>hirís	Laòho òho	Manahil	Ocaca cuo	Menghirís	Laòho òho	Manahil	Ocaca cuo							
72	267	word	Asciare legno	Me<i>ng</i>hirís	Laòho òho	Manarangsáng	Ocaca cuo	Menghirís	Laòho òho	Manarangsáng	Ocaca cuo							
73	267	word	Asciugare	Menapù	Ogò<i>o</i>	Mangunsilát	Bacaáia	Menapù	Ogòo	Mangunsilát	Bacaáia							
74	267	word	A sinistra	Sabla chiri	Ba gabèra	Hambiráng	Albaca	Sabla chiri	Ba gabèra	Hambiráng	Albaca							
75	267	word	Aspettare	Tongo	Labalobalói	Pa ima hon	Naahapé	Tongo	Labalobalói	Pa ima hon	Naahapé							
76	267	word	Assassinare	Bunù	Búnu	Mamunu	Pacahalé	Bunù	Búnu	Mamunu	Pacahalé							
77	267	word	Atap	Atáp	Bulu sago		Prururu èuba	Atáp	Bulu sago		Prururu èuba							
78	267	word	Attaccare	Tambát		Gantú<i>ng</i>	Paraiá	Tambát		Gantúng	Paraiá							
79	267	word	Attaccare	Icát		Gantú<i>ng</i>	Paraiá	Icát		Gantúng	Paraiá							
80	267	word	Attaccare	Gantú<i>ng</i>		Gantú<i>ng</i>	Paraiá	Gantúng		Gantúng	Paraiá							
81	267	word	Avambraccio	La<i>ng</i>án		Ta<i>ng</i>án	Ehoachia	Langán		Tangán	Ehoachia							J. S. A. Van Dissel
82	267	word	Avambraccio	Ta<i>ng</i>án		Ta<i>ng</i>án	Ehoachia	Tangán		Tangán	Ehoachia							J. S. A. Van Dissel
83	267	word	Avere	Ada	So	Mamoiòp	Chichía	Ada	So	Mamoiòp	Chichía							J. S. A. Van Dissel
84	267	word	Avere (Non …)	Tida ada		Dan adon	Chèoba	Tida ada		Dan adon	Chèoba							
85	267	word	Aver fame	Lepar	Olófo	Rapar	Coignó	Lepar	Olófo	Rapar	Coignó							
86	267	word	Aver fastidi	Ada susa	D<i>o</i>d<i>o</i> bucala		Cucubahu	Ada susa	Dodo bucala		Cucubahu							
87	268	word	Aver sete	Berdahaga	D<i>o</i>d<i>o</i> odufo dufo	Manguwás	Chibo	Berdahaga	Dodo odufo dufo	Manguwás	Chibo							J. S. A. Van Dissel
88	268	word	Azzuffarsi	Berpráng	Fasóndra	Manghinsadái	Bacai	Berpráng	Fasóndra	Manghinsadái	Bacai							
89	268	word	Azzuffarsi	Berpukúl	Fasóndra	Manghinsadái	Bacai	Berpukúl	Fasóndra	Manghinsadái	Bacai							
90	268	word	Baciare	Ciúm	Agombáva	Mangúmma	Manu	Ciúm	Agombáva	Mangúmma	Manu							J. S. A. Van Dissel
91	268	word	Baffi	Misèi	Bumbèwe	Gumis	Pruru ripodia	Misèi	Bumbèwe	Gumis	Pruru ripodia							J. S. A. Van Dissel
92	268	word	Baffi	Misèi	Bumbèwe	Misè *	Pruru ripodia	Misèi	Bumbèwe	Misè *	Pruru ripodia							J. S. A. Van Dissel
93	268	word	Bagaglio	Barang²	Fasoro	Barang²	Dobu	Barang²	Fasoro	Barang²	Dobu							J. S. A. Van Dissel
94	268	word	Bagnarsi	Mandi	Mondri	Maridi	Baèche	Mandi	Mondri	Maridi	Baèche							J. S. A. Van Dissel
95	268	word	Bagno	Tampát mandi	Ba’a vemóndri		Ebo iaha baèche	Tampát mandi	Ba’a vemóndri		Ebo iaha baèche							J. S. A. Van Dissel
96	268	word	Ballo donne	Menari	Manari	Manortòr	Maenu cahora	Menari	Manari	Manortòr	Maenu cahora							
97	268	word	Ballo uomini	Menari	Maulèia	Manortòr	Maenu cahora	Menari	Maulèia	Manortòr	Maenu cahora							
98	268	word	Bambini	Anac	Iraòno	Dacdanac	Pamo	Anac	Iraòno	Dacdanac	Pamo							
99	268	word	Bambini	Anac	Iraòno	Dacdanac	Epa	Anac	Iraòno	Dacdanac	Epa							
100	268	word	Bambù	Bulu	Léwu	Bulu	Abeha	Bulu	Léwu	Bulu	Abeha							
101	268	word	Bambù per attingere acqua	Garighíc	Cole²	Poti<i>ng</i>	Enoà	Garighíc	Cole²	Poting	Enoà							
102	268	word	Bambù per attingere acqua	Chendí	Cole²	Poti<i>ng</i>	Enoà	Chendí	Cole²	Poting	Enoà							
103	268	word	Banane	Pisa<i>ng</i>	Bae	Gaol	Eígio	Pisang	Bae	Gaol	Eígio							
104	268	word	Banco di corallo	Cara<i>ng</i>án	Gozo	Hará<i>ng</i><rm=""dal malese"">	Eèa	Carangán	Gozo	Haráng	Eèa			dal malese				J. S. A. Van Dissel
105	268	word	Barattare	Tocar	Fatucao	Paubahon	Pachèli	Tocar	Fatucao	Paubahon	Pachèli							
106	268	word	Barba	Gia<i>ng</i>gút		Giangút	Prururu ipo	Gianggút		Giangút	Prururu ipo							J. S. A. Van Dissel
107	268	word	Barba a punta	Gia<i>ng</i>gút pangiá<i>ng</i>	Gambi	Giangút	Prururu chidía	Gianggút pangiáng	Gambi	Giangút	Prururu chidía							J. S. A. Van Dissel
108	268	word	Barba a sulle guance	Tciambá<i>ng</i>	R<i>o</i>ng<i>o</i>	Banc		Tciambáng	Rongo	Banc								J. S. A. Van Dissel
109	268	word	Barca a remi	Prau daiúng	Dundráha	Sòlu	Elòha	Prau daiúng	Dundráha	Sòlu	Elòha							
110	268	word	Barca a vela	Prau laiár	Owo solòio	Pindís		Prau laiár	Owo solòio	Pindís								J. S. A. Van Dissel
111	268	word	Basta ǃ	Sampé	Noá	Sappè	Abacochía	Sampé	Noá	Sappè	Abacochía							
112	268	word	Bastantemente	Pada	Tob<i>o</i>no	Pala	Abóha	Pada	Tobono	Pala	Abóha							J. S. A. Van Dissel
113	268	word	Bello	Bagús	S<i>o</i>chi	Dengán	Cáua	Bagús	Sochi	Dengán	Cáua							
114	268	word	Bere	Minúm	Famadu	Manhinúm	Baigiòho	Minúm	Famadu	Manhinúm	Baigiòho							
115	268	word	Bianco	Putí	Afusi	Bottar	Caudáhio	Putí	Afusi	Bottar	Caudáhio							
116	268	word	Bocca	Mulút	Bava	Bawa	Eca	Mulút	Bava	Bawa	Eca							
117	268	word	Braccialetto	Gla<i>ng</i> Ta<i>ng</i>án	Aia mbul<i>o</i>cha	Lèa<i>ng</i>	Chinacò	Glang Tangán	Aia mbulocha	Lèang	Chinacò							
118	268	word	Braccio	La<i>ng</i>án	Siu	Gólang	Apo	Langán	Siu	Gólang	Apo							J. S. A. Van Dissel
119	268	word	Braccio	La<i>ng</i>án	Siu	Gólang	Earahaori	Langán	Siu	Gólang	Earahaori							J. S. A. Van Dissel
120	268	word	Braccio	Ta<i>ng</i>án	Siu	Gólang	Apo	Tangán	Siu	Gólang	Apo							J. S. A. Van Dissel
121	268	word	Braccio	Ta<i>ng</i>án	Siu	Gólang	Earahaori	Tangán	Siu	Gólang	Earahaori							J. S. A. Van Dissel
122	268	word	Bramare	Succá	Uhalo	Haghi iòt	Cahápi	Succá	Uhalo	Haghi iòt	Cahápi							
123	268	word	Bramare	Succá	Uhalo	Ra	Cahápi	Succá	Uhalo	Ra	Cahápi							
124	268	word	Brivido di febbre	Gelugút sebáb demóm	Otu²	Manghirgir	Eoho	Gelugút sebáb demóm	Otu²	Manghirgir	Eoho							
125	268	word	Bruciare (Cucinare troppo)	Bacar	Acògi	Masac	Bachíco	Bacar	Acògi	Masac	Bachíco							
126	268	word	Bruciare (Cucinare troppo)	Bacar	Acògi	Gor	Bachíco	Bacar	Acògi	Gor	Bachíco							
127	268	word	Bruciare	Ber<i>ng</i>ala	Atunu	Matutúng	Cachíco	Berngala	Atunu	Matutúng	Cachíco							
128	268	word	Brutto	Burúc	L<i>o</i> s<i>o</i>chi	Dae	Chioha	Burúc	Lo sochi	Dae	Chioha							
129	268	word	Bucar orecchi	Mentciutciúc teli<i>ng</i>a	Latogi	Manombúe	Caricu cariahadía	Mentciutciúc telinga	Latogi	Manombúe	Caricu cariahadía							
130	268	word	Buio	Glap	Agomigómi	Bot	Capòpo elòpo	Glap	Agomigómi	Bot	Capòpo elòpo							
131	269	word	Buono	Bagús	S<i>o</i>chi	Dengán	Cáua	Bagús	Sochi	Dengán	Cáua							
132	269	word	Buttar via	Buáng		Mandangurhón	Epacúa	Buáng		Mandangurhón	Epacúa							
133	269	word	Cacciare	Membúru	Memòlo	Marburu	Bacocòi ebèo iahiacúe<sem=""col cane"">	Membúru	Memòlo	Marburu	Bacocòi ebèo iahiacúe				col cane			
134	269	word	Cacciare	Membúru	Memòlo	Marburu	Cabacocòi ba buru còio<sem=""senza cane"">	Membúru	Memòlo	Marburu	Cabacocòi ba buru còio				senza cane			
135	269	word	Cadere	Giatò	Aèchu	Madabu	Capunda	Giatò	Aèchu	Madabu	Capunda							
136	269	word	Caldo	Panás	Aucu	Las	Cadodohodi	Panás	Aucu	Las	Cadodohodi							
137	269	word	Calpestare	Banti<i>ng</i> cachí	Fam<i>o</i>r<i>o</i> salo	Mamolnat	Chichidi	Banting cachí	Famoro salo	Mamolnat	Chichidi						GPWR--I change the italics tagging with dash for ease of the use of the Keyman IPA keyboard	
138	269	word	Cammino (via)	Gialán	Lala		Ecò	Gialán	Lala		Ecò							
139	269	word	Campo	Ládang		Ladang	Epíia	Ládang		Ladang	Epíia							
140	269	word	Campo	Ládang		Gimma	Epíia	Ládang		Gimma	Epíia							
141	269	word	Cane	Angi<i>ng</i>	Asso	Asu	Eapí	Anging	Asso	Asu	Eapí							
142	269	word	Cane	Angi<i>ng</i>	Asso	Asu	Ebèo	Anging	Asso	Asu	Ebèo							
143	269	word	Canna da zucchro	Tébu	Tòbu	Tobu	Enaio	Tébu	Tòbu	Tobu	Enaio							
144	269	word	Canto	Gnagní	Fanúno	Ende	Bahora	Gnagní	Fanúno	Ende	Bahora							
145	269	word	Capelli	Rambút	Bu	Obu	Pruru ulu	Rambút	Bu	Obu	Pruru ulu							
146	269	word	Capelli	Rambút	Bu	Obu	Pruru uru	Rambút	Bu	Obu	Pruru uru							
147	269	word	Capire	Mongartí	D<i>o</i>d<i>o</i> m<i>o</i>i	Mangantusi	Pahoiá	Mongartí	Dodo moi	Mangantusi	Pahoiá							
148	269	word	Carestia	Clapáran	Lofo	Haleon	Chèoba eonai mèhe	Clapáran	Lofo	Haleon	Chèoba eonai mèhe							
149	269	word	Carne	Daghin	Nagòle	Giuhut	Hela	Daghin	Nagòle	Giuhut	Hela							
150	269	word	Caro (prezzo)	Mahál	Ibua boli	Rarang	Mocoli	Mahál	Ibua boli	Rarang	Mocoli							
151	269	word	Casa	Rúma	Omo	Bagas	Èuba	Rúma	Omo	Bagas	Èuba							
152	269	word	Casa	Rúma	Omo	Bagas	Cacario	Rúma	Omo	Bagas	Cacario							
153	269	word	Cattivo	Giahát	L<i>o</i> s<i>o</i>chi	Rowa	Ibu	Giahát	Lo sochi	Rowa	Ibu							
154	269	word	Cercare	Ciari	Fanáo	Lulu	Bahoari	Ciari	Fanáo	Lulu	Bahoari							
155	269	word	Cesta	Bacul	Raga²	Ampa<i>ng</i>	Eorae	Bacul	Raga²	Ampang	Eorae							
156	269	word	Cesta	Bacul	Raga²	Ampa<i>ng</i>	Eunèche	Bacul	Raga²	Ampang	Eunèche							
157	269	word	Cesta	Bacul	Raga²	Si gurup	Eorae	Bacul	Raga²	Si gurup	Eorae							
158	269	word	Cesta	Bacul	Raga²	Si gurup	Eunèche	Bacul	Raga²	Si gurup	Eunèche							
159	269	word	Chiamare (per nome)	Memanghíl de<i>ng</i>án namá		Margowar	Ahadi	Memanghíl dengán namá		Margowar	Ahadi							
160	269	word	Chiamare	Panghil	Fagaoni	Mamigio	Ahadi	Panghil	Fagaoni	Mamigio	Ahadi							
161	269	word	Chiedere	Minta	Fanòfu	Manuccun	Manunuhi	Minta	Fanòfu	Manuccun	Manunuhi							
162	269	word	Cieco	Buta	Abòto h<i>o</i>r<i>o</i>	Pitung	Machene	Buta	Abòto horo	Pitung	Machene							
163	269	word	Ciglio	Bulu mata		Imbulu ni mata	Epruru baca	Bulu mata		Imbulu ni mata	Epruru baca							
164	269	word	Cignale	Babí hútan		Dalu	Ecòio	Babí hútan		Dalu	Ecòio							
165	269	word	Cocco (Albero di)	Pohun clapá	Ohi	Negiur	Carahapò	Pohun clapá	Ohi	Negiur	Carahapò							
166	269	word	Cocco (Noce di)	Búa clapá	Bánio	Migior	Epò	Búa clapá	Bánio	Migior	Epò							
167	269	word	Cocco (Noce di)	Búa clapá	Bánio	Migior	Huapò	Búa clapá	Bánio	Migior	Huapò							
168	269	word	Coccodrillo	Buwaia	Buáia	Buwaia	Cohoóca	Buwaia	Buáia	Buwaia	Cohoóca							
169	269	word	Coda	Ecor	Io	Ihur	Iidia	Ecor	Io	Ihur	Iidia							
170	269	word	Collera	Mará	F<i>o</i>nu	Giechel	Pahuna chideidia	Mará	Fonu	Giechel	Pahuna chideidia							
171	269	word	Collera	Mará	F<i>o</i>nu	Pusu	Pahuna chideidia	Mará	Fonu	Pusu	Pahuna chideidia							
172	269	word	Collo	Leher	Baghi	Ruccung	Eiú	Leher	Baghi	Ruccung	Eiú							
173	269	word	Collo	Leher	Baghi	Ruccung	Ehanua	Leher	Baghi	Ruccung	Ehanua							
174	269	word	Coltello	Pisò	Ballatu	Raut	Epèiti	Pisò	Ballatu	Raut	Epèiti							
175	269	word	Coltello	Pisò	Ballatu	Raut	Eao	Pisò	Ballatu	Raut	Eao							
176	269	word	Coltello	Pisò	Ballatu	Raut	Eachiebara	Pisò	Ballatu	Raut	Eachiebara							
177	269	word	Coltello	Pisò	Ballatu	Rahi	Epèiti	Pisò	Ballatu	Rahi	Epèiti							
178	269	word	Coltello	Pisò	Ballatu	Rahi	Eao	Pisò	Ballatu	Rahi	Eao							
179	269	word	Coltello	Pisò	Ballatu	Rahi	Eachiebara	Pisò	Ballatu	Rahi	Eachiebara							
180	269	word	Coltello	Pará<i>ng</i>	Ballatu	Raut	Epèiti	Paráng	Ballatu	Raut	Epèiti							
181	269	word	Coltello	Pará<i>ng</i>	Ballatu	Raut	Eao	Paráng	Ballatu	Raut	Eao							
182	269	word	Coltello	Pará<i>ng</i>	Ballatu	Raut	Eachiebara	Paráng	Ballatu	Raut	Eachiebara							
183	269	word	Coltello	Pará<i>ng</i>	Ballatu	Rahi	Epèiti	Paráng	Ballatu	Rahi	Epèiti							
184	269	word	Coltello	Pará<i>ng</i>	Ballatu	Rahi	Eao	Paráng	Ballatu	Rahi	Eao							
185	269	word	Coltello	Pará<i>ng</i>	Ballatu	Rahi	Eachiebara	Paráng	Ballatu	Rahi	Eachiebara							
186	269	word	Comando	Pasán	Oroisa	Mandoccon	Chihíua Comaná	Pasán	Oroisa	Mandoccon	Chihíua Comaná							
187	270	word	Combattimento	Lawan	Falelé	Gora	Bapuru chia	Lawan	Falelé	Gora	Bapuru chia							
188	270	word	Come si ohiama ?	Apa namá	Hadia doi da	Aha nia gowarna	Eia heniène	Apa namá	Hadia doi da	Aha nia gowarna	Eia heniène							
189	270	word	Comniciare	Mulai	Mam<i>o</i>r<i>o</i>taig<i>o</i>	Hian	Apari echia	Mulai	Mamorotaigo	Hian	Apari echia							
190	270	word	Compassione	Cassián	Ebúa d<i>o</i>d<i>o</i>	Hassian	Pachinunái	Cassián	Ebúa dodo	Hassian	Pachinunái							
191	270	word	Comprare	Blí	Mow<i>o</i>li	Manuhor	Èoli	Blí	Mowoli	Manuhor	Èoli							
192	270	word	Conficcare	Memasáng	Faho	Pagò	Bacòia poco	Memasáng	Faho	Pagò	Bacòia poco							
193	270	word	Congiungersi carnalmente	Sa tubuh	Faihi		Pahorai	Sa tubuh	Faihi		Pahorai							
194	270	word	Conterie	Rupa rupa catcia	Mani²	Si mata	Lole²	Rupa rupa catcia	Mani²	Si mata	Lole²							
195	270	word	Coraggioso	Brani	Amui	Ma begu	Chèoba mahò	Brani	Amui	Ma begu	Chèoba mahò							J. S. A. Van Dissel
196	270	word	Corda	Tali	Sináli	Riman	Bahoio	Tali	Sináli	Riman	Bahoio							J. S. A. Van Dissel
197	270	word	Corda	Tali	Sináli	Holting *	Bahoio	Tali	Sináli	Holting *	Bahoio							J. S. A. Van Dissel
198	270	word	Corrente	Harus	Undro nidano	Su<i>ng</i>e	Ebò chèoba elà eodia	Harus	Undro nidano	Sunge	Ebò chèoba elà eodia							
199	270	word	Corrente	Harus	Undro nidano	Aec	Ebò chèoba elà eodia	Harus	Undro nidano	Aec	Ebò chèoba elà eodia							
200	270	word	Cosa è questo ?	Apa itu		Aha ma on	Eiah enione	Apa itu		Aha ma on	Eiah enione							J. S. A. Van Dissel
201	270	word	Coscia	Paho		Hae hae	Eapalà	Paho		Hae hae	Eapalà							J. S. A. Van Dissel
202	270	word	Così	Bighítu	Man<i>o</i>	Boti	Enoaha	Bighítu	Mano	Boti	Enoaha							J. S. A. Van Dissel
203	270	word	Cranio	Batú capála	Binu		Eae euluca	Batú capála	Binu		Eae euluca							
204	270	word	Cranio	Batú capála	Wole²		Eae euluca	Batú capála	Wole²		Eae euluca							
